TempleName,LordGod,Area,Address,lat,long
信義佛堂,明明上帝,雲林縣,雲林縣西螺鎮光復東路大園里五一巷一號,23.7978915,120.4666685
社口水德堂,萬善公,雲林縣,雲林縣西螺鎮社口福田里段一二六八號,23.7815712,120.4255846
崇德宮,金府千歲,雲林縣,雲林縣東勢鄉守密街嘉隆村37號,23.6659352,120.2613547
濟安宮,七仙姑,雲林縣,雲林縣斗六市竹頭重光里路一一號,23.6932135,120.5666599
程氏家廟,佛公福德正神關聖帝君,雲林縣,雲林縣西螺鎮埔心段六二九號,23.7783445,120.4223831
朝興宮,天上聖母,雲林縣,雲林縣西螺鎮吳厝里六鄰六0號,23.800928,120.4616842
明善堂,釋迦牟尼佛,雲林縣,雲林縣西螺鎮中興里福來路389號,23.8005108,120.4498054
振興宮,阿善師,雲林縣,雲林縣西螺鎮廣興里八鄰七0號,23.7653958,120.463126
慈興宮,地藏王菩薩,雲林縣,雲林縣西螺鎮新社段一五二0之一號,23.789182,120.448883
保安宮,神農大帝,雲林縣,雲林縣東勢鄉同安路東安段631地號,23.7116473,120.2668753
慶興宮,福德正神,雲林縣,雲林縣東勢鄉同安路同安村90之2號,23.7041993,120.265256
興德堂,觀音佛祖,雲林縣,雲林縣東勢鄉同北路同安村24鄰26號,23.7318966,120.2706002
張天師府,正一天師,雲林縣,雲林縣崙背鄉中厝阿勸村一鄰二三之一號,23.7498691,120.3325653
永安宮,玄天上帝,雲林縣,雲林縣崙背鄉大有村165號,23.75899,120.3071689
榴中福德宮,福德正神,雲林縣,雲林縣斗六市北環路榴中里九之六號,23.7249655,120.5812492
明照堂,觀音佛祖,雲林縣,雲林縣西螺鎮吳厝里一鄰一五號,23.800928,120.4616842
明修堂,玉皇大天尊無極瑤池金母,雲林縣,雲林縣崙背鄉和平路西榮村一0鄰一四號,23.762285,120.3513541
新興宮,天上聖母,雲林縣,雲林縣斗六市四維里中正路二鄰六0號,23.708733,120.5444632
福興宮,李府千歲,雲林縣,雲林縣麥寮鄉霄仁厝瓦嗂村47-17號,23.753945,120.268724
觀音堂,觀音菩薩,雲林縣,雲林縣東勢鄉同安路同安村85之1號,23.7111386,120.2668104
公業福德爺廟,福德正神,雲林縣,雲林縣西螺鎮鹿場三塊厝段小段一一一0地號,23.7499001,120.4729605
草湖拱后宮,天上聖母,雲林縣,雲林縣崙背鄉草湖村三鄰五0之一號,23.7978369,120.332034
聖元宮,天上聖母,雲林縣,雲林縣崙背鄉新豐大有村路三號,23.7637768,120.3087158
崇修堂,明明上帝,雲林縣,雲林縣斗六市中山路社口里一四九巷二0號,23.705578,120.539594
紫雲堂,觀音佛祖,雲林縣,雲林縣斗六市重光路重光里二一二之一號,23.6932511,120.5666139
石榴班萬善宮,萬善爺,雲林縣,雲林縣斗六市中興路榴北里一九0號,23.7299888,120.5695997
開安宮,李府千歲,雲林縣,雲林縣東勢鄉同安路同安村55號,23.7087311,120.2665
晉安府,吳府三王,雲林縣,雲林縣東勢鄉安南路安南村106之9號,23.7041883,120.2498009
財團法人西螺福善寺,地藏王菩薩,雲林縣,雲林縣西螺鎮大橋路中和里五號,23.8039999,120.4622188
弓孝宮,伏魔大帝,雲林縣,雲林縣西螺鎮九隆里四鄰五一號,23.7496931,120.437152
天聖宮,天羅至尊,雲林縣,雲林縣斗六市明德里河堤南路二段二0一之五0號,23.7265695,120.5420512
文殊寺,釋迦牟尼佛,雲林縣,雲林縣斗六市石寮榴北里路九之一號,23.7365228,120.5915425
明聖宮,玄天上帝,雲林縣,雲林縣斗六市重光路重光里二鄰四三號,23.6932633,120.5662135
新社百姓堂,地藏王,雲林縣,雲林縣西螺鎮新豐里二二九號,23.784636,120.450028
港尾順天宮,關聖帝君,雲林縣,雲林縣崙背鄉港尾村三鄰三0號,23.7484519,120.3774177
妙智學苑,觀世音菩薩,雲林縣,雲林縣斗六市文生路虎溪里五一七巷一五號,23.7181345,120.5246758
嘉東北天宮,天上聖母,雲林縣,雲林縣斗六市嘉東中路嘉東里二一號,23.6858751,120.545323
回春寺,明明上帝,雲林縣,雲林縣斗六市檨林路湖山里八三號,23.6944336,120.6247349
財團法人斗六市湖山寺,南無觀世音菩薩,雲林縣,雲林縣斗六市岩山路湖山里十一鄰四八號,23.707734,120.6077965
福德寺,福德正神,雲林縣,雲林縣斗六市光明路溝壩里一00號,23.673783,120.5374832
保安宮,地藏王菩薩,雲林縣,雲林縣斗六市萬年路斗路六市溪洲里九七三號,23.7409854,120.5549604
靖安寺,地藏王菩薩,雲林縣,雲林縣斗六市鎮南路社口里一四鄰一六一號,23.7007555,120.5415524
埔心百姓公廟,地藏王,雲林縣,雲林縣西螺鎮安定里六八號,23.8023398,120.4397903
廣玄宮,玄天上帝,雲林縣,雲林縣西螺鎮大新里一五鄰一六三之一號,23.7943604,120.4962417
三殿宮,紫衣菩薩,雲林縣,雲林縣斗六市永興路久安里一六鄰四四號,23.6871689,120.517347
供天宮,北極玄天上帝,雲林縣,雲林縣斗六市竹圍路溪洲里九鄰七二之三0號,23.7417889,120.5580539
天后宮,天上聖母,雲林縣,雲林縣莿桐鄉油車埔尾村72號,23.7434207,120.5248399
大乾宮,玄天上帝,雲林縣,雲林縣斗六市鎮北里鎮北路二三四號,23.7171156,120.5427387
復天宮,天上聖母,雲林縣,雲林縣斗六市湖山路湖山里四鄰八五之一號,23.707905,120.59986
福興山,玄天上帝,雲林縣,雲林縣斗六市楓湖路湖山里九鄰九二號,23.716487,120.606736
成功廟,開台尊王,雲林縣,雲林縣大埤鄉豐田村二鄰一二號,23.65841,120.4598844
安西宮,李伍府千歲,雲林縣,雲林縣麥寮鄉崙後村二六一號,23.7758821,120.2648706
玉鳳宮,玄天上帝,雲林縣,雲林縣斗六市洛陽路三平里七六號,23.709186,120.5352442
善德堂,觀世音菩薩,雲林縣,雲林縣東勢鄉安南路安南村6鄰51之1號,23.7016827,120.2524383
福德爺廟,福德正神,雲林縣,雲林縣西螺鎮頂湳段一0四九之一號,23.7783445,120.4223831
振文書院,五文昌帝君,雲林縣,雲林縣西螺鎮興農西路廣福里六號,23.7944934,120.4644841
太元寺,觀音佛祖,雲林縣,雲林縣西螺鎮仁和街中和里三七號,23.8011433,120.463223
順天宮,媽祖天上聖母,雲林縣,雲林縣水林鄉蕃薯厝102號,23.5417857,120.2235597
代天宮,李府千歲,雲林縣,雲林縣水林鄉順興路45號,23.5567262,120.207332
保安宮,保生大帝,雲林縣,雲林縣古坑鄉高林村63號,23.673579,120.570216
開山道院,無極老母,雲林縣,雲林縣古坑鄉尖山坑東和村41號之1,23.6521481,120.6065771
普明寺,觀世音菩薩,雲林縣,雲林縣古坑鄉荷苞村荷苞路76號之6,23.6474419,120.6056064
善修宮,關聖帝君,雲林縣,雲林縣斗六市鎮東里永樂街一鄰一號,23.7118232,120.5480855
引善寺,釋迦佛,雲林縣,雲林縣斗六市引善路八德里一七0號,23.712394,120.567459
保生宮,保生大帝,雲林縣,雲林縣古坑鄉光昌路永昌村246巷1號,23.6272235,120.5492976
新庄開山宮,開山聖侯,雲林縣,雲林縣崙背鄉枋南村七鄰新庄六四號,23.786901,120.362964
阿勸順安宮,池張李府千歲,雲林縣,雲林縣崙背鄉阿勸村一七鄰一二號,23.764543,120.337016
朝龍宮,玄天上帝,雲林縣,雲林縣斗六市久安路久安里三一一號,23.6865286,120.5097442
大年宮,玄天上帝,雲林縣,雲林縣斗六市仁義路崙?里四四號,23.6790401,120.538455
玄安宮,玄天上帝,雲林縣,雲林縣斗六市瓦厝路江厝里一五鄰一00號,23.670443,120.520215
天聖宮,天上聖母,雲林縣,雲林縣斗六市長平北路長平里一七號,23.7032568,120.5037021
南仁寺,觀音佛祖,雲林縣,雲林縣斗六市南仁路榴南里一九二號,23.7123855,120.5876827
石榴班金上宮,天上聖母,雲林縣,雲林縣斗六市石榴路榴中里一七鄰一0四之二0號,23.727557,120.589512
承天宮,劉府仙公,雲林縣,雲林縣斗六市埤頭路梅林里二一號,23.7024649,120.5786658
聖按宮,李府千歲,雲林縣,雲林縣虎尾鎮安溪里一六六之二三號,23.7275268,120.4400839
新福興宮,天上聖母,雲林縣,雲林縣二崙鄉義庄村新庄二九號,23.8177718,120.4198491
德聖堂,關聖帝君,雲林縣,雲林縣大埤鄉豐田村大埤路五九巷五八號,23.661721,120.4724392
松山廟,松山元帥,雲林縣,雲林縣大埤鄉聯美路聯美村一八之二號,23.6522202,120.3983445
大眾廟,大將爺公,雲林縣,雲林縣麥寮鄉中山路麥豐村九鄰大眾巷三號,23.7487913,120.2575355
順天府,李府千歲,雲林縣,雲林縣水林鄉大山10之9號,23.6085038,120.5445808
天保宮,天上聖母,雲林縣,雲林縣水林鄉蔦松路204號,23.4378915,120.4526414
保安宮,保生大帝,雲林縣,雲林縣古坑鄉崁腳村36號之2,23.6085038,120.5445808
三聖宮,關聖帝君,雲林縣,雲林縣莿桐鄉興北興貴村路六三之一0號,23.7734638,120.5209226
法輪寺,釋迦佛,雲林縣,雲林縣水林鄉廟前路101號,23.5748651,120.240608
慈光寺,釋迦牟尼佛,雲林縣,雲林縣古坑鄉永光村大湖口1號之1,23.6119316,120.5698189
天聖宮,關聖帝君,雲林縣,雲林縣林內鄉聖宮路湖本村一五號,23.7263845,120.6212609
玄德宮,玄天上帝,雲林縣,雲林縣林內鄉林中村榮譽路二0號,23.7051764,120.5517683
財團法人雲林縣林內鄉濟公堂,濟公禪師,雲林縣,雲林縣林內鄉公園林中村中山1號,23.753702,120.6155125
上德宮,福德正神,雲林縣,雲林縣大埤鄉豐興嘉興村,23.644265,120.464959
合天宮,徐府千歲,雲林縣,雲林縣口湖鄉湖口村91號,23.5296449,120.1560436
鎮天宮,五年千歲,雲林縣,雲林縣口湖鄉埔北村19之1號,23.61879,120.180925
明聖宮,魁星大帝,雲林縣,雲林縣臺西鄉溪頂村165-3號,23.6852151,120.1884985
過港六房天上聖母廟,六房天上聖母,雲林縣,雲林縣土庫鎮成功路越港里三號,23.6739978,120.3943109
德興宮,池府千歲,雲林縣,雲林縣虎尾鎮中正路中山里172號,23.7078608,120.4328172
慈德堂,觀世音菩薩,雲林縣,雲林縣北港鎮光明路162號,23.5668735,120.2999935
泰德堂,玄天上帝,雲林縣,雲林縣大埤鄉埤頭三結村三一三號,23.662337,120.435328
恩德宮,關聖帝君,雲林縣,雲林縣莿桐鄉興貴村興中34號,23.7681543,120.5286802
天竺寺,觀音佛祖,雲林縣,雲林縣莿桐鄉甘厝村二一五號,23.7595685,120.4874208
保延宮,保生大帝,雲林縣,雲林縣大埤鄉聯美路聯美村,23.6522202,120.3983445
鎮福宮,保生大帝,雲林縣,雲林縣大埤鄉鎮平北鎮村一0號,23.6357888,120.3918803
廣興宮,池府千歲,雲林縣,雲林縣莿桐鄉饒平路饒平村一三0號,23.7798129,120.5189342
順德府,張府千歲,雲林縣,雲林縣元長鄉山川合和村六鄰路一四之一號,23.6288771,120.3320195
南清宮,天上聖母、夫人七姊妹,雲林縣,雲林縣臺西鄉溝南永豐村2號,23.7205426,120.2112768
章寶宮,天上聖母,雲林縣,雲林縣四湖鄉內湖村下桂山4號,23.6286065,120.1870367
天雲寺,觀音佛祖,雲林縣,雲林縣四湖鄉中洋南路羊調村一0號,23.642265,120.199578
文英宮,關聖帝君,雲林縣,雲林縣大埤鄉尚義村七二號,23.637872,120.449655
福興宮,趙府元帥,雲林縣,雲林縣褒忠鄉有才村1鄰7之5號,23.720846,120.290534
陌姓祠,陌姓公陌姓婆,雲林縣,雲林縣莿桐鄉后埔四合村九六之一號,23.777328,120.5289
真武宮,玄天上帝,雲林縣,雲林縣大埤鄉豐興嘉興村十二號,23.6429892,120.4637739
福華宮,康府元帥,雲林縣,雲林縣古坑鄉華山村34號之1,23.594459,120.597985
財團法人北港朝天宮,,雲林縣,雲林縣北港鎮中山路178號,23.5678056,120.3046446
濟公禪寺,濟公活佛,雲林縣,雲林縣虎尾鎮德興里北平路六四號,23.712061,120.429125
金羅殿,中元普渡公,雲林縣,雲林縣虎尾鎮民族路東仁里122號,23.711981,120.438054
大天宮,無極聖祖,雲林縣,雲林縣虎尾鎮安溪里7鄰119之1號,23.722176,120.4426766
鳳山寺,廣澤尊王,雲林縣,雲林縣土庫鎮中正路宮北里二二五號,23.6783196,120.3920634
三善公廟,三善公,雲林縣,雲林縣水林鄉萬興1之20號,23.5839902,120.2329169
福興宮,池府千歲,雲林縣,雲林縣水林鄉春埔1鄰62號,23.444791,120.244964
保生大帝廟,保生大帝,雲林縣,雲林縣大埤鄉後庄北鎮村52號,23.6783196,120.3920634
慈玲宮,方仙姑,雲林縣,雲林縣崙背鄉大有村13鄰284之18號,23.7637768,120.3087158
舊庄拱后宮,天上聖母,雲林縣,雲林縣崙背鄉舊庄村十鄰九九號,23.7851416,120.3286564
受天宮,天上聖母,雲林縣,雲林縣斗六市莊敬路成功里五五號,23.7035447,120.5502501
斗六福興宮,開漳聖王,雲林縣,雲林縣斗六市鎮西里雲林路二段一八0號,23.699157,120.526328
順安宮,地藏王菩薩,雲林縣,雲林縣林內鄉重興村二0鄰進興路一七號,23.7752481,120.588484
清雲萬聖堂,清雲萬聖爺,雲林縣,雲林縣土庫鎮大荖里七0之二號,23.6876,120.373712
虎尾安溪慧日講堂,釋迦牟尼佛,雲林縣,雲林縣虎尾鎮安溪里104-8號,23.7275268,120.4400839
奉祈宮,媽祖,雲林縣,雲林縣土庫鎮新庄里10鄰311之1號,23.7401425,120.3740858
三姓公廟,三姓公,雲林縣,雲林縣虎尾鎮埒內里10鄰156之3號,23.7347204,120.4501653
協天宮,關聖帝君,雲林縣,雲林縣二崙鄉三塊厝三和村六0號,23.7367367,120.4017194
儀天宮,天上聖母,雲林縣,雲林縣二崙鄉楊賢路楊賢村五0號,23.815886,120.40375
墾地里萬善堂,萬人爺公,雲林縣,雲林縣虎尾鎮墾地里一0鄰六十甲區45之25號,23.7367367,120.4017194
奉三宮,三山國王,雲林縣,雲林縣北港鎮好收里52號,23.600952,120.278206
侯天府,鄭府聖侯,雲林縣,雲林縣北港鎮西湖草湖里一00之一號,23.597662,120.301338
玉相宮,玄天上帝,雲林縣,雲林縣古坑鄉田心村91號,23.6683891,120.5430028
九蓮華山聖道院,關聖帝君,雲林縣,雲林縣古坑鄉華山村116號,23.5950618,120.5966968
三泰宮,三官大帝,雲林縣,雲林縣古坑鄉新庄村43號,23.6902019,120.5855579
天浩宮,地母至尊,雲林縣,雲林縣古坑鄉文化路東和村2號之8,23.6815635,120.5715274
福吉宮,玄天上帝,雲林縣,雲林縣莿桐鄉永基四合村一五號,23.776118,120.525696
長和宮,天上聖母,雲林縣,雲林縣斗六市長和路榴中里15號,23.7243179,120.5767638
萬年宮,玄天上帝,雲林縣,雲林縣斗六市萬年路四一六巷四九號,23.7266866,120.5508493
東興,樟仙師,雲林縣,雲林縣莿桐鄉新莊六合村東興段一六五號,23.7595685,120.4874208
順天宮,天上聖母媽祖,雲林縣,雲林縣二崙鄉華北路大華村三之一六號,23.8004801,120.4175048
城同府,城隍廟公,雲林縣,雲林縣四湖鄉中湖街施湖村一之一號,23.634091,120.220753
惠興宮,天上聖母,雲林縣,雲林縣二崙鄉惠來路來惠村一五鄰45之1號,23.768729,120.400413
通天府,溫王千歲,雲林縣,雲林縣水林鄉廟前路86號,23.5746081,120.2414717
天后宮,天上聖母,雲林縣,雲林縣水林鄉蔦松路172之1號,23.5148512,120.2285935
南昌宮,保生大帝,雲林縣,雲林縣古坑鄉南昌崁腳村45號,23.6115143,120.5377581
玉龍宮,太子中壇元帥,雲林縣,雲林縣古坑鄉水碓村168號,23.664533,120.559809
清參宮,天上聖母,雲林縣,雲林縣古坑鄉文化路東和村201號,23.6878149,120.5652699
鎮安府,,雲林縣,雲林縣臺西鄉蚊港村130號,23.7554544,120.2214751
美山寺,觀音佛祖,雲林縣,雲林縣元長鄉二房合和村九鄰路五六之三號,23.6591402,120.2997824
福德宮,福德正神,雲林縣,雲林縣林內鄉中西路林中村四五號,23.7600161,120.6119362
玄興宮,玄天上帝包府千歲關聖帝君,雲林縣,雲林縣斗南鎮復興路石溪里65號,23.6342571,120.474416
小西天廟,觀世音菩薩,雲林縣,雲林縣斗南鎮新庄東明里二二號,23.6873415,120.4944128
順安宮,天上聖母,雲林縣,雲林縣斗南鎮長安路１段明昌里126號,23.675388,120.4737336
南安宮,三帥夫人,雲林縣,雲林縣口湖鄉蚶寮路116之1號,23.7600161,120.6119362
開元宮,鄭成功,雲林縣,雲林縣口湖鄉後厝村110號,23.6342571,120.474416
薛安宮,薛府千歲,雲林縣,雲林縣臺西鄉三和富琦村15鄰18-6號,23.675388,120.4737336
馨香宮,朱府千歲,雲林縣,雲林縣口湖鄉埔南村126號,23.4399219,120.5998528
豐德宮,李府千歲,雲林縣,雲林縣水林鄉海豐12之1號,23.6317491,120.2552352
福德廟,福德正神公公,雲林縣,雲林縣古坑鄉永光村崁頭厝段,23.6317911,120.5493044
虛空聖殿,中壇元帥,雲林縣,雲林縣古坑鄉光興路永昌村85號,23.6255146,120.5496787
水碓濟公堂,,雲林縣,雲林縣古坑鄉水碓村35號,23.625068,120.5514846
福安宮,天上聖母,雲林縣,雲林縣四湖鄉下鹿場路55號,23.6151536,120.2375786
明德寺,觀世音菩薩,雲林縣,雲林縣臺西鄉忠孝路和豐村99號,23.728642,120.2132148
拱雲宮,趙府元歲,雲林縣,雲林縣虎尾鎮埒內里一七四號,23.7223975,120.4468906
虎尾慈惠堂,無極瑤池金母,雲林縣,雲林縣虎尾鎮頂溪里下過溪11鄰75之1號,23.7281745,120.4636611
三合里福德宮,福德正神,雲林縣,雲林縣虎尾鎮三合里舊部二七號,23.697903,120.405768
鎮興宮,關聖帝君,雲林縣,雲林縣虎尾鎮五間厝西安里28之3號,23.6987527,120.4284548
碧清寺,觀世音菩薩,雲林縣,雲林縣水林鄉宏仁路38號,23.6052503,120.2393195
保安公廟,有應公,雲林縣,雲林縣臺西鄉三姓蚊港村寮,23.751393,120.223994
觀音佛祖廟,觀音佛祖,雲林縣,雲林縣斗南鎮溝心新崙里一三號,23.6724019,120.4314393
順安堂,清水祖師,雲林縣,雲林縣斗南鎮明昌里一八六號,23.6744525,120.4683778
漢陽慈聖宮,瑤池金母,雲林縣,雲林縣林內鄉大埔九芎村一一之五號,23.733184,120.596077
德天宮,開台聖王,雲林縣,雲林縣莿桐鄉榮貫麻園村路一六五號,23.7718958,120.5299821
泰安宮,蘇府千歲,雲林縣,雲林縣褒忠鄉馬鳴村泰安5之1號,23.6922361,120.292541
濟善堂,南海古佛,雲林縣,雲林縣大埤鄉和平路北和村一六之一號,23.6433991,120.4275719
芳林宮,天上聖母,雲林縣,雲林縣斗南鎮林子里23之1號,23.6841575,120.4938291
福德宮,福德正神,雲林縣,雲林縣斗南鎮文安新光里段974地號,23.6917548,120.4802612
泰安府,張李莫馬池府千歲,雲林縣,雲林縣元長鄉中洽鹿南村二鄰路二八號之三,23.6417682,120.3719866
青風天壇,九天玄女,雲林縣,雲林縣元長鄉子茂村六鄰八一號,23.664356,120.3291365
五福宮,天師大帝,雲林縣,雲林縣北港鎮扶朝里192-1號,23.56006,120.284061
北港武德宮,天官武財神,雲林縣,雲林縣北港鎮華勝路新街里三三0號,23.5893948,120.3009303
乾元宮,三山國王,雲林縣,雲林縣北港鎮大庄樹腳里二號,23.577139,120.275832
奉天府,五府千歲,雲林縣,雲林縣水林鄉後寮50號,23.5514402,120.2368366
嘉興宮,池府王爺,雲林縣,雲林縣古坑鄉中山路朝陽村182巷2號,23.6463444,120.561781
永安宮,北極玄天上帝,雲林縣,雲林縣林內鄉永安烏麻村三鄰六九之一號,23.7508733,120.5843685
震威府,金府千歲,雲林縣,雲林縣北港鎮灣內後溝里路21號,23.5752855,120.2943706
里山宮,張天師,雲林縣,雲林縣莿桐鄉農校莿桐村路三之一五號,23.7497774,120.5076429
法雲庵感德堂,關聖帝君,雲林縣,雲林縣莿桐鄉興北興貴村路一一六號,23.7734638,120.5209226
通天府,吳府千歲,雲林縣,雲林縣口湖鄉後厝村8號,23.5427462,120.1971782
進雄宮,玄天上帝,雲林縣,雲林縣林內鄉烏塗村八鄰四八之六號,23.5427462,120.1971782
鉅天宮,池府千歲,雲林縣,雲林縣土庫鎮後埔里七八號,23.4609107,120.249941
萬善堂,萬善公,雲林縣,雲林縣林內鄉新光路林北村五一號,23.768532,120.631576
感善堂,關聖帝君,雲林縣,雲林縣元長鄉三民子茂村路三八號,23.670193,120.3304854
