address,lat,lng,date
雲林縣大埤鄉西鎮村西鎮路,0,0,105/07/05 15:30
雲林縣莿桐鄉南安路,23.7555815,120.4972335,105/07/04 12:00
雲林縣元長鄉興安路,23.6388053,120.3006328,105/07/06 14:39
雲林縣西螺鎮東興里東興路,23.770128,120.477269,105/07/14 08:50
雲林縣元長鄉元東路,23.6562596,120.3229924,105/07/14 14:08
雲林縣虎尾鎮惠來,23.730426,120.485882,105/07/15 15:30
雲林縣二崙鄉崙東村崙北路,23.771285,120.414988,105/07/25 11:30
雲林縣莿桐鄉麻園村榮貫,23.774537,120.531452,105/07/28 01:00
雲林縣二崙鄉大義村後庄路,23.7891166,120.4022743,105/07/27 00:25
雲林縣莿桐鄉埔子村埔子,23.7531166,120.5135161,105/07/24 10:23
雲林縣北港鎮仁和里仁和路,23.5692332,120.3053395,105/07/11 02:55
雲林縣西螺鎮安定里安定路,23.8002762,120.4363815,105/07/11 21:30
雲林縣土庫鎮馬光路,23.6986361,120.3675365,105/07/07 10:18
雲林縣四湖鄉內湖村三塊厝,23.624773,120.199106,105/08/13 09:00
雲林縣褒忠鄉新湖路,23.6962397,120.3097278,105/07/25 03:00
雲林縣麥寮鄉後安村後安路,23.7655354,120.246193,105/08/18 19:44
雲林縣斗六市文化路,23.713499,120.5586902,105/07/06 05:00
雲林縣虎尾鎮平和路,23.7018501,120.4583875,105/07/17 03:00
雲林縣北港鎮樹腳里懷仁路,23.5758254,120.2922033,105/08/11 13:15
雲林縣西螺鎮埤頭里埤頭路,23.7730641,120.4750787,105/08/31 13:20
雲林縣虎尾鎮工專路,23.702856,120.4249902,105/08/04 04:00
雲林縣北港鎮水埔里水埔路,23.552768,120.280007,105/08/21 19:00
雲林縣北港鎮樹腳里宗聖路,23.5751873,120.2907604,105/08/11 17:30
雲林縣東勢鄉安南村安南路,23.7026,120.2512697,105/09/10 14:10
雲林縣莿桐鄉中正路,23.7574412,120.4986014,105/08/30 09:31
雲林縣斗六市嘉東南路,23.6816027,120.5454038,105/07/30 12:00
雲林縣斗六市嘉東南路,23.6816027,120.5454038,105/08/27 15:00
雲林縣斗六市嘉東南路,23.6816027,120.5454038,105/09/01 12:00
雲林縣北港鎮新街里華勝路,23.5848801,120.2996195,105/07/07 16:00
雲林縣北港鎮草湖里西湖路,23.600766,120.304393,105/09/05 15:31
雲林縣北港鎮樹腳里協和街,23.5735243,120.2936994,105/09/21 10:51
雲林縣古坑鄉田心村溪洲,23.659568,120.549517,105/09/16 11:30
雲林縣西螺鎮漢光里中山路,23.7987884,120.4512174,105/07/20 12:02
雲林縣北港鎮新街里正義街,0,0,105/09/26 13:43
雲林縣莿桐鄉興貴村興南路,0,0,105/08/04 06:40
雲林縣北港鎮華勝里文化路,23.5731178,120.3034373,105/10/18 23:50
雲林縣斗六市梅林路,23.7026921,120.5983411,105/10/20 09:00
雲林縣褒忠鄉埔姜街,23.6972596,120.3118952,105/09/29 12:46
雲林縣斗南鎮東明里新庄,23.68436,120.492612,105/10/11 12:00
雲林縣水林鄉車港村車巷口,23.6093793,120.2644418,105/10/07 21:26
雲林縣斗六市中興路,23.7276829,120.5743279,105/10/27 17:00
雲林縣崙背鄉大有村大有路,23.7637768,120.3087158,105/10/20 16:00
雲林縣虎尾鎮新吉,23.701122,120.42234,105/09/19 07:00
雲林縣莿桐鄉興貴村興南路,0,0,105/11/06 22:00
雲林縣斗六市仁義路,23.6751463,120.537613,105/10/06 21:00
雲林縣古坑鄉新庄村新庄,23.692065,120.584559,105/11/11 20:30
雲林縣虎尾鎮五間厝路,23.6987527,120.4284548,105/11/12 22:30
雲林縣虎尾鎮八德街,23.7007035,120.4286232,105/11/07 03:30
雲林縣北港鎮光復里大同路,23.5725066,120.2990255,105/11/01 10:03
雲林縣元長鄉好收路,23.6010496,120.2765966,105/11/09 17:00
雲林縣斗南鎮大東里大東,23.687099,120.461402,105/11/05 18:00
雲林縣斗六市內環路,23.7120877,120.5486132,105/11/25 14:00
雲林縣西螺鎮永安里大橋路,23.8031852,120.4637912,105/11/25 18:30
雲林縣西螺鎮漢光里中山路,23.7987884,120.4512174,105/09/14 03:00
雲林縣麥寮鄉中興村仁德西,23.7973255,120.2364511,105/10/31 17:10
雲林縣斗六市長平路,23.70271,120.5017744,105/11/04 08:00
雲林縣斗南鎮西岐里七賢街,23.6819165,120.4710076,105/11/30 07:30
雲林縣斗六市興合路,23.7185308,120.5594355,105/11/09 13:30
雲林縣北港鎮新街里新南路,23.5821263,120.3042668,105/11/01 10:30
雲林縣四湖鄉民權路,0,0,105/11/21 12:58
雲林縣虎尾鎮公安路,23.7089989,120.4331665,105/11/08 17:00
雲林縣水林鄉塭底村新塭路,0,0,105/08/12 09:00
雲林縣二崙鄉永定村永定路,23.795895,120.4191273,105/10/17 08:00
雲林縣元長鄉潭墘,23.6804053,120.4716885,105/11/26 15:00
雲林縣斗南鎮和平街,23.6804053,120.4716885,105/12/20 08:30
雲林縣元長鄉西庄,23.622327,120.304432,105/12/01 10:51
雲林縣西螺鎮永安里大橋路,23.8031852,120.4637912,105/12/26 21:10
雲林縣虎尾鎮新吉,23.701122,120.42234,105/12/30 22:00
