TempleName,LordGod,Area,Address,lat,long
保元宮,玄天上帝,嘉義縣,嘉義縣梅山鄉開元后過山村二十二號,23.586436,120.531749
先天宮,五府千歲,嘉義縣,嘉義縣東石鄉東石村246號,23.4570075,120.1489614
財團法人臺灣省嘉義縣梅山玉虛宮,北極玄天上帝,嘉義縣,嘉義縣梅山鄉中山路梅東村七二號,23.5818388,120.559001
福安宮,福德正神,嘉義縣,嘉義縣中埔鄉中埔村六鄰（在六鄰二十之一號之東）,23.421819,120.532221
安龍府,張府九千歲,嘉義縣,嘉義縣東石鄉頂揖村1鄰13之3號,23.492188,120.21444
金山岩,觀音佛祖,嘉義縣,嘉義縣梅山鄉南勢坑大南村六鄰三號,23.553934,120.549045
祝天宮,鄭成功,嘉義縣,嘉義縣東石鄉海埔村4鄰21號,23.473757,120.188857
萬善廟,萬善爺,嘉義縣,嘉義縣梅山鄉中學路梅東村二之二號,23.5762973,120.5600349
源興宮,池王爺,嘉義縣,嘉義縣梅山鄉幼葉林瑞里村五鄰六十二號,23.5396797,120.6683069
梅山淨舍,阿彌陀佛,嘉義縣,嘉義縣梅山鄉後過山過山村一鄰一號之三,23.5720491,120.5469929
鎮安宮,福德正神,嘉義縣,嘉義縣梅山鄉全仔社太和村六鄰七之一號,23.5401234,120.7177509
大將宮,大將爺,嘉義縣,嘉義縣梅山鄉南榮街梅南村四十之一號,23.5824166,120.5578765
三源福德宮,福德正神,嘉義縣,嘉義縣梅山鄉三源圳南村五鄰路二十之一號,23.5767442,120.5900917
三元宮,三官大帝,嘉義縣,嘉義縣梅山鄉太平村四鄰十三之一號,23.5619373,120.6042747
配天宮,天上聖母,嘉義縣,嘉義縣六腳鄉蒜頭糖廠工廠村122號,23.479446,120.299717
紫極殿,玄天上帝,嘉義縣,嘉義縣六腳鄉港美村100號,23.5284142,120.2886153
鎮武宮,玄天上帝,嘉義縣,嘉義縣新港鄉溪北段溪北村526號,23.510558,120.3364113
財團法人台灣省嘉義縣布袋鎮過溝建德宮,五府千歲,嘉義縣,嘉義縣布袋鎮過溝西勢西安里三鄰三十號,23.4166464,120.1804891
漳武宮,玄天上帝,嘉義縣,嘉義縣梅山鄉安靖村五鄰梓普寮二十四號之一,23.548893,120.584226
新興宮,神農聖帝,嘉義縣,嘉義縣水上鄉大崙村18鄰49號,23.4429596,120.3553197
德興宮,五谷聖帝,嘉義縣,嘉義縣水上鄉頂塗溝塗溝村3鄰18之1號,23.4524144,120.370146
清福宮,清水祖師,嘉義縣,嘉義縣太保市茄苳腳春珠里5鄰（711號）,23.445622,120.320774
玉賢宮,三府千歲,嘉義縣,嘉義縣太保市北新里9鄰中興路一段152號,23.5005502,120.3846978
福德宮,福德正神,嘉義縣,嘉義縣水上鄉柳子林段內溪村260之40號,23.437515,120.42424
奉天宮濟公廟,濟公活佛,嘉義縣,嘉義縣水上鄉崎子頭寬士村25鄰736之1號,23.4561189,120.4283083
義神廟,帥爺,嘉義縣,嘉義縣水上鄉三和村8號,23.4552558,120.4129984
白鶴寺,觀世音菩薩,嘉義縣,嘉義縣水上鄉三界埔國姓村9鄰36號,23.4410529,120.4757399
柳安宮,福德正神,嘉義縣,嘉義縣水上鄉柳新村4鄰柳新段53號,23.426556,120.406134
法雨寺,釋迦牟尼佛,嘉義縣,嘉義縣水上鄉崎子頭寬士村10鄰30號,23.4462882,120.4297955
竹安寺,觀音佛祖,嘉義縣,嘉義縣水上鄉頂寮三和村6鄰14號,23.4579941,120.4145164
千歲宮,觀音佛祖,嘉義縣,嘉義縣水上鄉紅毛寮忠和村6鄰10號,23.413441,120.429667
