year,season,year_season,city,total_population,total_population_increase,births,deaths,natural_increase_rate,immigrants,emigrants,social_increase_rate,total_increase_rate
105,2,1052,嘉義縣,"517,339","-1,168",665,"1,430",-1.48,"3,917","4,320",-0.78,-2.26
105,2,1052,屏東縣,"838,584","-1,176","1,155","2,112",-1.14,"7,167","7,386",-0.26,-1.4
105,2,1052,台東縣,"221,504",-470,382,620,-1.07,"1,974","2,206",-1.05,-2.12
105,2,1052,花蓮縣,"331,372",-261,588,806,-0.66,"3,952","3,995",-0.13,-0.79
105,2,1052,澎湖縣,"102,329",-3,224,235,-0.11,"1,259","1,251",0.08,-0.03
105,2,1052,基隆市,"371,837",-45,576,717,-0.38,"4,477","4,381",0.26,-0.12
105,2,1052,新竹市,"435,238",746,"1,108",686,0.97,"5,634","5,310",0.74,1.71
105,2,1052,嘉義市,"270,254",-10,558,528,0.11,"2,741","2,781",-0.15,-0.04
105,2,1052,福建省,"145,721",193,349,212,0.94,"2,302","2,246",0.38,1.32
105,2,1052,金門縣,"133,185",187,313,198,0.86,"2,081","2,009",0.54,1.4
105,2,1052,連江縣,"12,536",6,36,14,1.76,221,237,-1.28,0.48
105,1,1051,新北市,"3,970,790",146,"8,485","6,597",0.48,"37,197","38,939",-0.44,0.04
105,1,1051,台北市,"2,704,495",-315,"6,919","5,051",0.69,"31,259","33,442",-0.81,-0.12
105,1,1051,桃園市,"2,114,172","8,392","5,628","3,653",0.94,"24,569","18,152",3.04,3.98
105,1,1051,台中市,"2,748,799","4,354","6,337","4,843",0.54,"30,592","27,732",1.04,1.58
105,1,1051,台南市,"1,885,157",-384,"3,677","4,303",-0.33,"17,209","16,967",0.13,-0.2
105,1,1051,高雄市,"2,778,240",-678,"5,369","5,926",-0.2,"28,595","28,716",-0.04,-0.24
105,1,1051,台灣省,"7,149,632","-6,958","14,642","18,053",-0.48,"59,566","63,113",-0.5,-0.98
105,1,1051,宜蘭縣,"457,854",-263,860,"1,036",-0.38,"4,452","4,539",-0.19,-0.57
105,1,1051,新竹縣,"543,183","1,141","1,318","1,105",0.39,"5,536","4,608",1.71,2.1
105,1,1051,苗栗縣,"562,473","-1,439","1,234","1,473",-0.42,"3,729","4,929",-2.13,-2.55
105,1,1051,彰化縣,"1,288,945",-127,"3,376","2,927",0.35,"8,869","9,445",-0.45,-0.1
105,1,1051,南投縣,"508,146","-1,344",898,"1,452",-1.09,"3,358","4,148",-1.55,-2.64
105,1,1051,雲林縣,"698,187","-1,446","1,176","1,969",-1.13,"4,821","5,474",-0.93,-2.06
105,1,1051,嘉義縣,"518,507","-1,332",745,"1,577",-1.6,"3,715","4,215",-0.96,-2.56
105,1,1051,屏東縣,"839,760","-1,493","1,273","2,360",-1.29,"7,070","7,476",-0.48,-1.77
105,1,1051,台東縣,"221,974",-478,388,699,-1.4,"1,793","1,960",-0.75,-2.15
105,1,1051,花蓮縣,"331,633",-312,707,962,-0.77,"3,947","4,004",-0.17,-0.94
105,1,1051,澎湖縣,"102,332",28,236,286,-0.49,"1,113","1,035",0.76,0.27
105,1,1051,基隆市,"371,882",-223,666,861,-0.52,"3,820","3,848",-0.08,-0.6
105,1,1051,新竹市,"434,492",432,"1,163",764,0.92,"4,629","4,596",0.08,1
105,1,1051,嘉義市,"270,264",-102,602,582,0.07,"2,714","2,836",-0.45,-0.38
105,1,1051,福建省,"145,528",182,369,225,0.99,"1,976","1,938",0.26,1.25
105,1,1051,金門縣,"132,998",199,335,207,0.96,"1,770","1,699",0.53,1.49
105,1,1051,連江縣,"12,530",-17,34,18,1.28,206,239,-2.64,-1.36
104,4,1044,新北市,"3,970,644","3,161","9,883","5,485",1.11,"34,112","35,349",-0.31,0.8
104,4,1044,台北市,"2,704,810","4,695","7,916","4,299",1.34,"29,299","28,221",0.4,1.74
104,4,1044,桃園市,"2,105,780","9,348","6,376","2,952",1.63,"22,799","16,875",2.82,4.45
104,4,1044,台中市,"2,744,445","5,892","7,503","4,057",1.26,"27,341","24,895",0.89,2.15
104,4,1044,台南市,"1,885,541",504,"4,406","3,781",0.33,"14,785","14,906",-0.06,0.27
104,4,1044,高雄市,"2,778,918","1,048","6,365","5,243",0.4,"24,587","24,661",-0.03,0.37
104,4,1044,台灣省,"7,156,590","-2,218","16,668","15,212",0.2,"51,417","55,091",-0.51,-0.31
104,4,1044,宜蘭縣,"458,117",-144,983,992,-0.02,"3,870","4,005",-0.29,-0.31
104,4,1044,新竹縣,"542,042","1,437","1,537",851,1.27,"5,011","4,260",1.39,2.66
104,4,1044,苗栗縣,"563,912",-637,"1,413","1,173",0.43,"3,309","4,186",-1.55,-1.12
104,4,1044,彰化縣,"1,289,072",777,"3,877","2,526",1.05,"7,656","8,230",-0.45,0.6
104,4,1044,南投縣,"509,490",-604,"1,027","1,158",-0.26,"2,987","3,460",-0.93,-1.19
104,4,1044,雲林縣,"699,633",-804,"1,382","1,724",-0.49,"4,112","4,574",-0.66,-1.15
104,4,1044,嘉義縣,"519,839",-831,906,"1,281",-0.72,"3,153","3,609",-0.88,-1.6
104,4,1044,屏東縣,"841,253","-1,172","1,415","2,013",-0.71,"5,291","5,865",-0.68,-1.39
104,4,1044,台東縣,"222,452",-458,472,608,-0.61,"1,554","1,876",-1.45,-2.06
104,4,1044,花蓮縣,"331,945",-81,780,819,-0.12,"3,484","3,526",-0.13,-0.25
104,4,1044,澎湖縣,"102,304",100,246,222,0.23,"1,051",975,0.74,0.97
104,4,1044,基隆市,"372,105",-406,670,701,-0.08,"3,415","3,790",-1.01,-1.09
104,4,1044,新竹市,"434,060",712,"1,371",658,1.64,"4,225","4,226",0,1.64
104,4,1044,嘉義市,"270,366",-107,589,486,0.38,"2,299","2,509",-0.78,-0.4
104,4,1044,福建省,"145,346",896,440,201,1.65,"2,286","1,629",4.53,6.18
104,4,1044,金門縣,"132,799",894,390,183,1.56,"2,042","1,355",5.18,6.74
104,4,1044,連江縣,"12,547",2,50,18,2.55,244,274,-2.39,0.16
104,3,1043,新北市,"3,967,483","1,431","8,682","5,234",0.87,"45,981","47,998",-0.51,0.36
104,3,1043,台北市,"2,700,115","-5,915","6,949","4,129",1.04,"35,548","44,283",-3.23,-2.19
104,3,1043,桃園市,"2,096,432","10,351","5,613","2,717",1.38,"30,105","22,650",3.56,4.94
104,3,1043,台中市,"2,738,553","7,053","6,189","3,998",0.8,"38,209","33,347",1.78,2.58
104,3,1043,台南市,"1,885,037",-339,"3,801","3,570",0.12,"18,645","19,215",-0.3,-0.18
104,3,1043,高雄市,"2,777,870",-965,"5,457","5,001",0.16,"33,487","34,908",-0.51,-0.35
104,3,1043,台灣省,"7,158,808","-6,553","14,422","14,746",-0.05,"69,106","75,335",-0.87,-0.92
104,3,1043,宜蘭縣,"458,261",-52,827,872,-0.1,"5,482","5,489",-0.02,-0.12
