編號	日期時間	lat	long	住宅竊盜發生地點
71	105/06/10 23:00	23.303228	120.20395400000007	嘉義縣義竹鄉西過村過路子
72	105/04/16 20:00	23.476663	120.53671800000006	嘉義縣番路鄉下坑村11鄰下坑
73	105/06/08 15:00	23.407006	120.51337999999998	嘉義縣中埔鄉同仁村3鄰同仁
74	105/03/18 05:00	23.466099	120.65608099999997	嘉義縣竹崎鄉光華村柑仔宅
75	105/03/22 11:29	23.487212	120.70360200000005	嘉義縣竹崎鄉中和村石棹
76	105/01/09 18:00	23.4517007	120.4733784	嘉義縣中埔鄉和睦村中山路5段
77	105/06/17 13:50	23.50966	120.54044699999997	嘉義縣竹崎鄉鹿滿村5鄰頂溪心
78	105/07/06 09:22	23.4819835	120.62583849999999	嘉義縣番路鄉大湖村2鄰茶科
79	105/07/24 14:00	23.445113	120.29548699999998	嘉義縣太保市安仁里港子墘
80	105/08/11 23:00	23.4584019	120.24564429999998	嘉義縣朴子市竹圍里四維路一段584巷
81	104/11/06 12:00			嘉義縣朴子市竹村里13鄰鴨母寮439巷
82	105/06/27 04:56			嘉義縣六腳鄉正義村大橋頭358號對面倉庫前
83	105/07/22 14:00	23.457618	120.40559800000005	嘉義縣水上鄉三和村新和庄
84	105/05/09 08:00	23.443377	120.51544899999999	嘉義縣中埔鄉義仁村13鄰樹頭埔
85	105/08/15 07:00	23.46513	120.231766	嘉義縣朴子市永和里應菜埔
86	103/07/15 12:00	23.601408	120.48064399999998	嘉義縣大林鎮三和里林仔前
87	105/10/04 23:00	23.5071569	120.31183750000002	嘉義縣六腳鄉灣北村
88	105/10/20 13:55	23.425631	120.19068029999994	嘉義縣東石鄉西崙村
89	105/09/12 22:43	23.4282184	120.40343929999995	嘉義縣水上鄉水頭村中正路
90	105/11/08 17:10	23.4581618	120.26247290000003	嘉義縣朴子市大?榔
91	105/09/05 07:45	23.4666214	120.2524674	嘉義縣朴子市山通路
92	105/11/28 21:45	23.4760615	120.28428050000002	嘉義縣朴子市仁和里小?榔
93	105/06/16 16:57	23.4311563	120.26569549999999	嘉義縣朴子市新庄里
94	105/10/16 16:50	23.494506	120.49587700000006	嘉義縣竹崎鄉灣橋村埤堂38巷1弄
95	105/12/15 15:30	23.53252	120.28700200000003	嘉義縣六腳鄉豐美村港尾寮
96	105/10/04 02:08	23.48725	120.50685850000002	嘉義縣竹崎鄉灣橋
