雲林縣警察局105年1至6月住宅竊盜地點一覽表,,,,,,
編號,日期時間,發生地點,lat,long,發生(現)管轄機關,發生場所
54,105/05/26 20:40,雲林縣北港鎮華勝里民族路,23.5727277,120.30212670000003,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
55,105/06/09 13:30,雲林縣崙背鄉五魁村五常路,23.7682297,120.32454559999996,OE04 雲林縣西螺分局豐榮所,A001 普通住宅(一、二層樓)
56,105/06/17 10:10,雲林縣斗六市光復路,23.7245316,120.59512569999993,OD09 雲林縣斗六分局榴中所,A001 普通住宅(一、二層樓)
57,105/05/21 18:30,雲林縣崙背鄉豐榮村豐榮路,23.7931056,120.30655709999996,OE04 雲林縣西螺分局豐榮所,A001 普通住宅(一、二層樓)
58,105/04/13 19:10,雲林縣西螺鎮新豐里平和南路,23.789019,120.44906330000003,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
59,105/01/14 10:00,雲林縣二崙鄉油車村山子門路,23.7953728,120.38454630000001,OE08 雲林縣西螺分局油車所,A001 普通住宅(一、二層樓)
60,105/04/23 09:50,雲林縣斗六市三和街,23.7052355,120.53779280000003,OD10 雲林縣斗六分局公正所,A001 普通住宅(一、二層樓)
61,105/06/22 10:09,雲林縣口湖鄉水井村水井路,23.5286697,120.18547699999999,OA06 雲林縣北港分局宜梧所,A001 普通住宅(一、二層樓)
62,105/06/28 12:09,雲林縣虎尾鎮下南,23.6807957,120.40442159999998,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
63,105/04/23 11:53,雲林縣斗六市雲林路2段,23.7012111,120.52873739999995,OD11 雲林縣斗六分局斗六所,A001 普通住宅(一、二層樓)
64,105/06/12 15:00,雲林縣四湖鄉飛東村大同路,23.6419945,120.18253419999996,OB10 雲林縣台西分局飛沙所,A001 普通住宅(一、二層樓)
65,105/05/22 01:04,雲林縣虎尾鎮中山路,23.7063715,120.43509730000005,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
66,105/06/21 14:00,雲林縣麥寮鄉海豐村永和,23.7753615,120.24464920000003,OB04 雲林縣台西分局麥寮分駐所,A001 普通住宅(一、二層樓)
67,105/04/03 13:05,雲林縣口湖鄉水井村水井路,23.5286697,120.18547699999999,OA06 雲林縣北港分局宜梧所,A001 普通住宅(一、二層樓)
68,105/06/13 22:30,雲林縣斗六市十三南路,23.7458862,120.56588729999999,OD03 雲林縣斗六分局長安所,A001 普通住宅(一、二層樓)
69,105/06/28 08:57,雲林縣土庫鎮民生路,23.707572,120.35422840000001,OF10 雲林縣虎尾分局馬光所,A001 普通住宅(一、二層樓)
70,105/06/02 12:00,雲林縣水林鄉蘇秦村蘇秦路,23.6200598,120.25934059999997,OA01 雲林縣北港分局宏仁所,A001 普通住宅(一、二層樓)
71,105/06/26 19:20,雲林縣西螺鎮鹿場里南興路,23.746958,120.47755899999993,OE05 雲林縣西螺分局埤源所,A001 普通住宅(一、二層樓)
72,105/05/06 13:00,雲林縣西螺鎮中山路,23.7994431,120.45586379999997,OE09 雲林縣西螺分局西螺所,A002 公寓(三至五層建築物)
73,105/06/13 06:15,雲林縣西螺鎮,23.7755286,120.44728499999997,OE05 雲林縣西螺分局埤源所,A001 普通住宅(一、二層樓)
74,105/04/23 17:10,雲林縣西螺鎮漢光里中山路,23.7987884,120.45121740000002,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
75,105/06/03 20:00,雲林縣虎尾鎮東屯,23.7030636,120.39830970000003,OF03 雲林縣虎尾分局東屯所,A001 普通住宅(一、二層樓)
76,105/05/30 11:29,雲林縣二崙鄉港後村安平路,23.8040585,120.3958384,OE08 雲林縣西螺分局油車所,A001 普通住宅(一、二層樓)
77,105/03/26 05:30,雲林縣二崙鄉大庄村1鄰大庄路,23.8043656,120.37598819999994,OE08 雲林縣西螺分局油車所,A001 普通住宅(一、二層樓)
78,105/04/19 08:00,雲林縣東勢鄉守密街,23.6656916,120.26070900000002,OB03 雲林縣台西分局東勢分駐所,A001 普通住宅(一、二層樓)
79,105/06/21 14:00,雲林縣口湖鄉蚵寮村忠孝街,23.5726841,120.17735600000003,OA08 雲林縣北港分局口湖分駐所,A001 普通住宅(一、二層樓)
80,105/06/15 08:00,雲林縣元長鄉安寧街,23.6487113,120.31932299999994,OF09 雲林縣虎尾分局元長分駐所,A001 普通住宅(一、二層樓)
81,105/07/05 15:30,雲林縣大埤鄉西鎮村西鎮路,,,OC06 雲林縣斗南分局怡美所,A001 普通住宅(一、二層樓)
82,105/07/04 12:00,雲林縣莿桐鄉南安路,23.7555815,120.4972335,OD07 雲林縣斗六分局莿桐所,A001 普通住宅(一、二層樓)
83,105/07/06 14:39,雲林縣元長鄉興安路,23.6388053,120.30063280000002,OF09 雲林縣虎尾分局元長分駐所,A001 普通住宅(一、二層樓)
84,105/07/14 08:50,雲林縣西螺鎮東興里東興路,23.770128,120.47726899999998,OE05 雲林縣西螺分局埤源所,A001 普通住宅(一、二層樓)
85,105/07/14 14:08,雲林縣元長鄉元東路,23.6562596,120.32299239999998,OF09 雲林縣虎尾分局元長分駐所,A001 普通住宅(一、二層樓)
86,105/07/15 15:30,雲林縣虎尾鎮惠來,23.730426,120.48588199999995,OF01 雲林縣虎尾分局惠來所,A001 普通住宅(一、二層樓)
87,105/07/25 11:30,雲林縣二崙鄉崙東村崙北路,23.771285,120.414988,OE07 雲林縣西螺分局二崙分駐所,A001 普通住宅(一、二層樓)
88,105/07/28 01:00,雲林縣莿桐鄉麻園村榮貫,23.774537,120.53145199999994,OD04 雲林縣斗六分局饒平所,A001 普通住宅(一、二層樓)
89,105/07/27 00:25,雲林縣二崙鄉大義村後庄路,23.7891166,120.40227430000004,OE08 雲林縣西螺分局油車所,A001 普通住宅(一、二層樓)
90,105/07/24 10:23,雲林縣莿桐鄉埔子村埔子,23.7531166,120.51351610000006,OD07 雲林縣斗六分局莿桐所,A001 普通住宅(一、二層樓)
91,105/07/11 02:55,雲林縣北港鎮仁和里仁和路,23.5692332,120.30533949999995,OA11 雲林縣北港分局北港所,A002 公寓(三至五層建築物)
92,105/07/11 21:30,雲林縣西螺鎮安定里安定路,23.8002762,120.43638149999992,OE01 雲林縣西螺分局和心所,A006 農家住宅
93,105/07/07 10:18,雲林縣土庫鎮馬光路,23.6986361,120.36753650000003,OF10 雲林縣虎尾分局馬光所,A001 普通住宅(一、二層樓)
94,105/08/13 09:00,雲林縣四湖鄉內湖村三塊厝,23.624773,120.19910600000003,OB10 雲林縣台西分局飛沙所,A001 普通住宅(一、二層樓)
95,105/07/25 03:00,雲林縣褒忠鄉新湖路,23.6962397,120.30972780000002,OF07 雲林縣虎尾分局褒忠分駐所,A001 普通住宅(一、二層樓)
96,105/08/18 19:44,雲林縣麥寮鄉後安村後安路,23.7655354,120.24619299999995,OB04 雲林縣台西分局麥寮分駐所,A007 出租公寓（套房）
97,105/07/06 05:00,雲林縣斗六市文化路,23.713499,120.5586902,OD09 雲林縣斗六分局榴中所,A001 普通住宅(一、二層樓)
98,105/07/17 03:00,雲林縣虎尾鎮平和路,23.7018501,120.45838750000007,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
99,105/08/11 13:15,雲林縣北港鎮樹腳里懷仁路,23.5758254,120.29220329999998,OA09 雲林縣北港分局好收所,A001 普通住宅(一、二層樓)
100,105/08/31 13:20,雲林縣西螺鎮埤頭里埤頭路,23.7730641,120.47507870000004,OE05 雲林縣西螺分局埤源所,A001 普通住宅(一、二層樓)
101,105/08/04 04:00,雲林縣虎尾鎮工專路,23.702856,120.42499020000002,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
102,105/08/21 19:00,雲林縣北港鎮水埔里水埔路,23.552768,120.28000700000007,OA11 雲林縣北港分局北港所,A001 普通住宅(一、二層樓)
103,105/08/11 17:30,雲林縣北港鎮樹腳里宗聖路,23.5751873,120.29076039999995,OA09 雲林縣北港分局好收所,A001 普通住宅(一、二層樓)
104,105/09/10 14:10,雲林縣東勢鄉安南村安南路,23.7026,120.25126969999997,OB09 雲林縣台西分局安南所,A001 普通住宅(一、二層樓)
105,105/08/30 09:31,雲林縣莿桐鄉中正路,23.7574412,120.49860139999998,OD07 雲林縣斗六分局莿桐所,A001 普通住宅(一、二層樓)
106,105/07/30 12:00,雲林縣斗六市嘉東南路,23.6816027,120.54540380000003,OD10 雲林縣斗六分局公正所,A002 公寓(三至五層建築物)
107,105/08/27 15:00,雲林縣斗六市嘉東南路,23.6816027,120.54540380000003,OD10 雲林縣斗六分局公正所,A007 出租公寓（套房）
108,105/09/01 12:00,雲林縣斗六市嘉東南路,23.6816027,120.54540380000003,OD10 雲林縣斗六分局公正所,A007 出租公寓（套房）
109,105/07/07 16:00,雲林縣北港鎮新街里華勝路,23.5848801,120.29961950000006,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
110,105/09/05 15:31,雲林縣北港鎮草湖里西湖路,23.600766,120.304393,OA10 雲林縣北港分局北辰所,A005 透天厝
111,105/09/21 10:51,雲林縣北港鎮樹腳里協和街,23.5735243,120.29369939999992,OA09 雲林縣北港分局好收所,A005 透天厝
112,105/09/16 11:30,雲林縣古坑鄉田心村溪洲,23.659568,120.54951699999992,OC12 雲林縣斗南分局古坑分駐所,A001 普通住宅(一、二層樓)
113,105/07/20 12:02,雲林縣西螺鎮漢光里中山路,23.7987884,120.45121740000002,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
114,105/09/26 13:43,雲林縣北港鎮新街里正義街,,,OA10 雲林縣北港分局北辰所,A005 透天厝
115,105/08/04 06:40,雲林縣莿桐鄉興貴村興南路,,,OD04 雲林縣斗六分局饒平所,A001 普通住宅(一、二層樓)
116,105/10/18 23:50,雲林縣北港鎮華勝里文化路,23.5731178,120.30343730000004,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
117,105/10/20 09:00,雲林縣斗六市梅林路,23.7026921,120.59834109999997,OD02 雲林縣斗六分局梅林所,A001 普通住宅(一、二層樓)
118,105/09/29 12:46,雲林縣褒忠鄉埔姜街,23.6972596,120.31189519999998,OF07 雲林縣虎尾分局褒忠分駐所,A001 普通住宅(一、二層樓)
119,105/10/11 12:00,雲林縣斗南鎮東明里新庄,23.68436,120.49261200000001,OC08 雲林縣斗南分局新光所,A001 普通住宅(一、二層樓)
120,105/10/07 21:26,雲林縣水林鄉車港村車巷口,23.6093793,120.26444179999999,OA01 雲林縣北港分局宏仁所,A001 普通住宅(一、二層樓)
121,105/10/27 17:00,雲林縣斗六市中興路,23.7276829,120.57432790000007,OD09 雲林縣斗六分局榴中所,A006 農家住宅
122,105/10/20 16:00,雲林縣崙背鄉大有村大有路,23.7637768,120.30871580000007,OE06 雲林縣西螺分局崙背分駐所,A001 普通住宅(一、二層樓)
123,105/09/19 07:00,雲林縣虎尾鎮新吉,23.701122,120.42234000000008,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
124,105/11/06 22:00,雲林縣莿桐鄉興貴村興南路,,,OD04 雲林縣斗六分局饒平所,A001 普通住宅(一、二層樓)
125,105/10/06 21:00,雲林縣斗六市仁義路,23.6751463,120.53761299999996,OD01 雲林縣斗六分局溝埧所,A005 透天厝
126,105/11/11 20:30,雲林縣古坑鄉新庄村新庄,23.692065,120.58455900000001,OC03 雲林縣斗南分局東和所,A001 普通住宅(一、二層樓)
127,105/11/12 22:30,雲林縣虎尾鎮五間厝路,23.6987527,120.42845480000005,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
128,105/11/07 03:30,雲林縣虎尾鎮八德街,23.7007035,120.42862319999995,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
129,105/11/01 10:03,雲林縣北港鎮光復里大同路,23.5725066,120.29902549999997,OA11 雲林縣北港分局北港所,A005 透天厝
130,105/11/09 17:00,雲林縣元長鄉好收路,23.6010496,120.27659659999995,OF04 雲林縣虎尾分局鹿寮所,A001 普通住宅(一、二層樓)
131,105/11/05 18:00,雲林縣斗南鎮大東里大東,23.687099,120.46140200000002,OC02 雲林縣斗南分局新崙所,A001 普通住宅(一、二層樓)
132,105/11/25 14:00,雲林縣斗六市內環路,23.7120877,120.54861319999998,OD11 雲林縣斗六分局斗六所,A001 普通住宅(一、二層樓)
133,105/11/25 18:30,雲林縣西螺鎮永安里大橋路,23.8031852,120.46379120000006,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
134,105/09/14 03:00,雲林縣西螺鎮漢光里中山路,23.7987884,120.45121740000002,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
135,105/10/31 17:10,雲林縣麥寮鄉中興村仁德西,23.7973255,120.23645110000007,OB06 雲林縣台西分局橋頭所,A007 出租公寓（套房）
136,105/11/04 08:00,雲林縣斗六市長平路,23.70271,120.50177439999993,OD06 雲林縣斗六分局長平所,A001 普通住宅(一、二層樓)
137,105/11/30 07:30,雲林縣斗南鎮西岐里七賢街,23.6819165,120.47100760000001,OC13 雲林縣斗南分局斗南所,A001 普通住宅(一、二層樓)
138,105/11/09 13:30,雲林縣斗六市興合路,23.7185308,120.55943550000006,OD09 雲林縣斗六分局榴中所,A001 普通住宅(一、二層樓)
139,105/11/01 10:30,雲林縣北港鎮新街里新南路,23.5821263,120.30426680000005,OA10 雲林縣北港分局北辰所,A001 普通住宅(一、二層樓)
140,105/11/21 12:58,雲林縣四湖鄉民權路,,,OB05 雲林縣台西分局四湖分駐所,A001 普通住宅(一、二層樓)
141,105/11/08 17:00,雲林縣虎尾鎮公安路,23.7089989,120.43316649999997,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
142,105/08/12 09:00,雲林縣水林鄉塭底村新塭路,,,OA02 雲林縣北港分局蔦松所,A001 普通住宅(一、二層樓)
143,105/10/17 08:00,雲林縣二崙鄉永定村永定路,23.795895,120.41912730000001,OE03 雲林縣西螺分局永定所,A001 普通住宅(一、二層樓)
144,105/11/26 15:00,雲林縣元長鄉潭墘,23.6804053,120.47168850000003,OF06 雲林縣虎尾分局客厝所,A001 普通住宅(一、二層樓)
145,105/12/20 08:30,雲林縣斗南鎮和平街,23.6804053,120.47168850000003,OC13 雲林縣斗南分局斗南所,A001 普通住宅(一、二層樓)
146,105/12/01 10:51,雲林縣元長鄉西庄,23.622327,120.30443200000002,OF06 雲林縣虎尾分局客厝所,A001 普通住宅(一、二層樓)
147,105/12/26 21:10,雲林縣西螺鎮永安里大橋路,23.8031852,120.46379120000006,OE09 雲林縣西螺分局西螺所,A001 普通住宅(一、二層樓)
148,105/12/30 22:00,雲林縣虎尾鎮新吉,23.701122,120.42234000000008,OF11 雲林縣虎尾分局虎尾所,A001 普通住宅(一、二層樓)
